TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2023wyt*,10:14:23.368,+00:00:30.79,2023-10-19 12:28:48.000,2023-11-09,19.61,ABMag,r - ZTF,1.4438670289848328,2.7028628872640037,Galaxy,-18.32360974468108,386.11969008500733,0.0911,"['153.597274' '0.008943' 'Galaxy' '386.11969008500733' '0.0911'
 '1.4438670289848328' '2.7028628872640037']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xcr,10:14:45.243,+19:38:11.77,2023-10-27 12:24:28.800,2023-11-09,20.16,ABMag,g - ZTF,1.4446655924961915,4.0469139734737825,Galaxy,-18.648908881880548,577.8056395601263,0.1378,"['153.68882' '19.636325' 'Galaxy' '577.8056395601263' '0.1378'
 '1.4446655924961915' '4.0469139734737825']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wwj,17:31:50.268,+22:01:40.10,2023-08-05 06:56:09.600,2023-11-09,19.9,ABMag,g - ZTF,1.4841798867152525,2.2354591066089604,Galaxy,-17.5615266051961,310.67429468236634,0.073,"['262.959833' '22.027596' 'Galaxy' '310.67429468236634' '0.073'
 '1.4841798867152525' '2.2354591066089604']",Galaxy,-18.248516773895822,426.28824278245753,0.1008,"['262.958785' '22.027482' 'Galaxy' '426.28824278245753' '0.1008'
 '2.5063535876296257' '5.179890288029362']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wwe*,09:50:19.491,+38:43:48.49,2023-10-07 11:05:16.800,2023-11-09,19.45,ABMag,g - ZTF,1.54299890512646,4.627943499783587,Galaxy,-19.50723781752335,618.6536271187226,0.14789,"['147.580788' '38.729864' 'Galaxy' '618.6536271187226' '0.14789'
 '1.54299890512646' '4.627943499783587']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xas,10:06:10.065,+36:56:03.69,2023-10-20 11:08:09.600,2023-11-09,20.11,ABMag,g - ZTF,1.5445806284156116,3.9090553843272686,Galaxy,-18.478431865302795,522.0190753558671,0.1241,"['151.542008' '36.933933' 'Galaxy' '522.0190753558671' '0.1241'
 '1.5445806284156116' '3.9090553843272686']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wxh,09:01:09.872,+51:38:20.07,2023-10-05 11:49:55.200,2023-11-09,20.27,ABMag,r - ZTF,1.5469145063358822,3.5800980103370255,Galaxy,-18.124268686558477,477.36847733559034,0.1132,"['135.290737' '51.638556' 'Galaxy' '477.36847733559034' '0.1132'
 '1.5469145063358822' '3.5800980103370255']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xbq*,11:46:06.317,+03:59:56.33,2023-10-27 12:57:36.000,2023-11-09,18.25,ABMag,r - ZTF,1.6233375810832482,3.309420062428511,Galaxy,-19.868840928209544,420.50211609508176,0.0994,"['176.52593' '3.998754' 'Galaxy' '420.50211609508176' '0.0994'
 '1.6233375810832482' '3.309420062428511']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xbn*,09:17:25.113,+15:12:10.51,2023-10-27 12:10:04.800,2023-11-09,19.47,ABMag,g - ZTF,1.6731609923874757,3.074833046142018,Galaxy,-18.423544710438833,379.0608586945298,0.0894,"['139.354963' '15.203262' 'Galaxy' '379.0608586945298' '0.0894'
 '1.6731609923874757' '3.074833046142018']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wxe,08:02:47.714,+30:56:09.95,2023-10-15 11:06:43.200,2023-11-09,19.82,ABMag,g - ZTF,1.7645402123113707,5.0505186669896,Galaxy,-19.03564776897757,590.3771685154196,0.1409,"['120.698455' '30.935712' 'Galaxy' '590.3771685154196' '0.1409'
 '1.7645402123113707' '5.0505186669896']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wxk,03:33:49.991,-14:43:15.85,2023-10-08 09:08:38.400,2023-11-09,20.23,ABMag,g - ZTF,1.826484955818735,5.973910430883567,Galaxy,-18.915338702679374,674.633247671232,0.1618,"['53.458693' '-14.720738' 'Galaxy' '674.633247671232' '0.1618'
 '1.826484955818735' '5.973910430883567']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wzw*,11:37:49.719,+07:21:27.17,2023-10-21 12:47:31.200,2023-11-09,19.34,ABMag,r - ZTF,1.8765165633058074,3.2150405244667715,Galaxy,-18.401295912446432,353.39400878970264,0.08323,"['174.456913' '7.358006' 'Galaxy' '353.39400878970264' '0.08323'
 '1.8765165633058074' '3.2150405244667715']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
