TNS_ID,RA,DEC,DiscoveryDate,Mag,MagUnit,Filter,Reporter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Gal_1_dist,Gal_1_z
2023tre,07:57:43.579,+27:19:42.68,2023-09-25 14:46:14.880,21.22,ABMag,w - P1,K. C. Chambers,4.459,Galaxy,LEDA 1804664,['LEDA 1804664' '119.432' '27.327' '4.459' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tsh,22:17:19.110,-35:49:52.21,2023-09-25 17:51:21.600,18.32,ABMag,G - Gaia,S.T. Hodgkin,1.1911516587166564,G,,"['334.33' '-35.8313' 'G' '711.214' '0.149167694584' '1.1911516587166564'
 '4.10716569261486']",,,,,,,711.214,0.149167694584
2023tsh,22:17:19.110,-35:49:52.21,2023-09-25 17:51:21.600,18.32,ABMag,G - Gaia,S.T. Hodgkin,0.732,Galaxy,2dFGRS TGS588Z262,['2dFGRS TGS588Z262' '334.33' '-35.831' '0.732' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tsh,22:17:19.110,-35:49:52.21,2023-09-25 17:51:21.600,18.32,ABMag,G - Gaia,S.T. Hodgkin,0.732,Galaxy,2dFGRS TGS588Z262,['2dFGRS TGS588Z262' '334.33' '-35.831' '0.732' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tsk,14:54:27.120,+51:24:33.70,2023-09-25 19:52:19.200,14.76,ABMag,G - Gaia,S.T. Hodgkin,0.052,BLLac,ATO J223.6130+51.4093,['ATO J223.6130+51.4093' '223.613' '51.409' '0.052' 'inf' 'BLLac' 'BLL'],,,,,,,,
2023tsk,14:54:27.120,+51:24:33.70,2023-09-25 19:52:19.200,14.76,ABMag,G - Gaia,S.T. Hodgkin,0.052,BLLac,ATO J223.6130+51.4093,['ATO J223.6130+51.4093' '223.613' '51.409' '0.052' 'inf' 'BLLac' 'BLL'],,,,,,,,
2023tsg,03:25:47.510,-50:43:57.14,2023-09-25 22:53:45.600,18.42,ABMag,G - Gaia,S.T. Hodgkin,2.0982592439544177,G,,['51.4471' '-50.73275' 'G' '0.0' '0.0' '2.0982592439544177' 'inf'],,,,,,,0.0,0.0
2023tsg,03:25:47.510,-50:43:57.14,2023-09-25 22:53:45.600,18.42,ABMag,G - Gaia,S.T. Hodgkin,3.066,Galaxy,LEDA  463539,['LEDA  463539' '51.447' '-50.733' '3.066' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tsg,03:25:47.510,-50:43:57.14,2023-09-25 22:53:45.600,18.42,ABMag,G - Gaia,S.T. Hodgkin,3.066,Galaxy,LEDA  463539,['LEDA  463539' '51.447' '-50.733' '3.066' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tsy,00:31:52.500,-03:37:42.57,2023-09-26 03:52:57.792,18.5,ABMag,orange - ATLAS,J. Tonry,0.649,Galaxy,2MASX J00315248-0337425,['2MASX J00315248-0337425' '7.969' '-3.629' '0.649' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tto,04:01:29.476,+46:11:10.89,2023-09-26 11:10:09.998,20.223,ABMag,r - ZTF,A. Munoz-Arancibia,2.629,Galaxy,LEDA  168510,['LEDA  168510' '60.372' '46.186' '2.629' 'inf' 'Galaxy' 'G'],,,,,,,,
2023trw,05:42:56.883,-21:53:24.69,2023-09-26 14:22:30.144,20.54,ABMag,w - P1,K. C. Chambers,4.160969546672996,G,,"['85.736664' '-21.889082' 'G' '660.369127233' '0.13939'
 '4.1609695466729955' '13.321593142072691']",,,,,,,660.369127233,0.13939
2023tth,03:50:19.710,+27:17:50.32,2023-09-27 11:22:32.736,19.05,ABMag,i - P1,K. C. Chambers,4.483,Galaxy,LEDA 1803686,['LEDA 1803686' '57.582' '27.296' '4.483' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tsu,02:48:14.475,-03:10:43.82,2023-09-27 11:40:22.368,20.0,ABMag,z - P1,D. O. Jones (UC Santa Cruz),3.11,Galaxy,SDSS J024814.61-031046.1,['SDSS J024814.61-031046.1' '42.061' '-3.179' '3.11' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tsu,02:48:14.475,-03:10:43.82,2023-09-27 11:40:22.368,20.0,ABMag,z - P1,D. O. Jones (UC Santa Cruz),3.11,Galaxy,SDSS J024814.61-031046.1,['SDSS J024814.61-031046.1' '42.061' '-3.179' '3.11' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tst,02:20:02.637,-03:48:30.96,2023-09-27 11:41:53.952,20.1,ABMag,r - P1,D. O. Jones (UC Santa Cruz),2.145,Galaxy,GAMA 2309927,['GAMA 2309927' '35.012' '-3.809' '2.145' 'inf' 'Galaxy' 'G'],Galaxy,GAMA 2309914,['GAMA 2309914' '35.012' '-3.811' '9.213' 'inf' 'Galaxy' 'G'],,,,,
2023tst,02:20:02.637,-03:48:30.96,2023-09-27 11:41:53.952,20.1,ABMag,r - P1,D. O. Jones (UC Santa Cruz),2.145,Galaxy,GAMA 2309927,['GAMA 2309927' '35.012' '-3.809' '2.145' 'inf' 'Galaxy' 'G'],Galaxy,GAMA 2309914,['GAMA 2309914' '35.012' '-3.811' '9.213' 'inf' 'Galaxy' 'G'],,,,,
2023tuj,03:22:10.187,-16:45:32.45,2023-09-27 12:38:33.792,19.28,ABMag,y - P1,D. O. Jones (UC Santa Cruz),2.557,Galaxy,LEDA  893932,['LEDA  893932' '50.542' '-16.76' '2.557' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tud,20:25:09.630,+03:16:44.54,2023-09-27 18:38:52.800,17.13,ABMag,G - Gaia,S.T. Hodgkin,0.048,QSO,[VV96] J202510.8+031645,['[VV96] J202510.8+031645' '306.29' '3.279' '0.048' 'inf' 'QSO' 'QSO'],,,,,,,,
2023ttn,10:10:01.897,+11:36:29.22,2023-09-28 12:31:51.004,18.5523,ABMag,r - ZTF,A. Munoz-Arancibia,2.318,Galaxy,2MASX J10100173+1136282,['2MASX J10100173+1136282' '152.507' '11.608' '2.318' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tul,18:34:44.895,+30:35:29.35,2023-09-29 03:36:32.832,19.5892,ABMag,r - ZTF,Patrick Aleo (UIUC),1.276,Galaxy,LEDA 1909873,['LEDA 1909873' '278.687' '30.591' '1.276' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tvd,09:00:34.290,+01:18:54.90,2023-09-29 15:23:02.400,18.71,ABMag,G - Gaia,S.T. Hodgkin,2.683,RadioG,NVSS J090034+011857,['NVSS J090034+011857' '135.142' '1.316' '2.683' 'inf' 'RadioG' 'rG'],,,,,,,,
2023tvk,16:39:11.081,+49:08:04.44,2023-10-01 05:35:02.688,18.199,ABMag,orange - ATLAS,J. Tonry,1.863,Galaxy,LEDA 2334434,['LEDA 2334434' '249.795' '49.135' '1.863' 'inf' 'Galaxy' 'G'],Galaxy,LEDA 2334377,['LEDA 2334377' '249.797' '49.132' '7.744' 'inf' 'Galaxy' 'G'],,,,,
2023tvs,07:44:30.458,+67:16:27.51,2023-10-01 13:49:54.048,17.62,ABMag,i - P1,K. C. Chambers,4.321,GtowardsGroup,UGC  3979,['UGC  3979' '116.129' '67.274' '4.321' '1.328' 'GtowardsGroup' 'GiG'],,,,,,,,
