TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023aafy,ZTF23abttsde,,17.855831447523087,0.1,0.28,20.4331,20.1492,2023-12-13T10:19:13.002220,2.0,2.0,,fading,SN,0.55,20.1766,20.1492,21.5309,21.4112,0.12,0.00125,60287.4,60291.4,152.58098705,29.73090303333333
2019aatv,ZTF19aasufxv,,52.904059861321,0.18,0.28,19.9653,19.6893,2023-11-06T12:29:43.995834,16.0,9.0,,fading,NT,0.79,19.3695,19.4305,18.7219,18.0517,0.67,0.00125,60234.5,60254.5,125.67451532777778,29.634636466666663
2023xef,ZTF23abopoyt,,50.13280646502972,0.09,0.28,19.3796,19.0984,2023-11-15T02:41:24.999366,8.0,8.0,,fading,SN,0.47,19.0801,19.0467,18.6702,17.8366,0.83,0.042,60250.2,60263.1,317.80314432499995,-15.8643147875
2023yhk,ZTF23absdzjm,,10.845586827024816,0.44,0.28,19.6285,19.3439,2023-12-28T09:20:27.000946,6.0,3.0,,fading,SN,3.63,19.4974,18.9944,21.0355,20.9128,0.12,0.133655,60287.3,60306.4,152.87371932307693,56.59115082307692
2023wvs,ZTF23abpndnh,,46.88544042920694,0.31,0.28,19.9662,19.6896,2023-11-14T11:56:53.998069,4.0,4.0,,,SN,2.05,19.8627,19.5989,19.436,18.588,0.85,0.0853095,60252.5,60262.5,156.3532447,36.54872778571429
2023yhn,ZTF23absdnlt,,45.806466427166015,0.28,0.28,19.6223,19.338,2023-12-13T10:15:46.998710,1.0,1.0,,fading,SN,4.44,19.4163,19.1597,21.1174,-999.0,1020.12,0.5,60287.4,60291.4,166.21361145,59.910540233333336
2020afgt,ZTF20aagiqbc,,17.787320802453905,0.28,0.28,20.0499,19.7713,2023-12-13T12:51:00.996475,2.0,2.0,rising/peak,,NT,0.33,20.0499,19.7713,19.7629,18.8068,0.96,0.0445833,60291.5,60291.5,221.50053675,56.38789265
2018mgh,ZTF18acbvijf,,1879.063788248226,-0.05,0.28,19.2495,18.9724,2018-12-04T06:41:48.001930,2.0,1.0,,fading,SN,1.17,18.8856,18.8867,18.7623,18.2086,0.55,0.00375,58428.3,58456.3,102.38636194166666,66.18052278333333
2023zfv,ZTF23absdxib,,17.840410661883652,0.19,0.29,19.8046,19.5119,2023-12-13T11:35:40.004180,1.0,1.0,,,SN,1.28,19.6263,19.5119,20.3877,20.6899,-0.3,,60287.4,60291.5,178.461182475,23.8447736
2019aath,ZTF19aaptarf,,1718.0329082482494,-0.03,0.29,20.2368,19.9476,2019-05-03T06:49:19.001289,7.0,5.0,,fading,NT,0.08,19.6162,19.6647,,,,,58583.4,58606.3,249.24976518,26.9141177
2023yok,ZTF23absjgvo,,49.78465074300766,0.24,0.29,19.0123,18.7183,2023-12-13T11:59:16.998703,3.0,3.0,,fading,SN,4.8,18.7636,18.7183,19.1227,18.6893,0.43,0.00425,60287.5,60291.5,193.474998925,26.312929475
2023xde,ZTF23aboffvn,,62.13957726536319,0.12,0.29,20.0178,19.7265,2023-11-11T03:44:28.999687,8.0,8.0,,,SN,0.74,19.829,19.7265,19.3364,18.5368,0.8,,60250.2,60259.2,327.4141879777778,16.528524133333335
2020afgw,ZTF20aclgpuf,,2.691817544400692,0.49,0.29,19.9158,19.6239,2023-12-30T11:40:56.003509,5.0,3.0,rising/peak,,AGN,0.39,19.8638,19.6239,19.0499,18.7491,0.3,0.0294583,60287.3,60308.5,138.37101845714284,83.54508174285714
2023wgi,ZTF23abnjklg,,73.79583127330989,-0.21,0.29,18.322,18.0284,2023-11-13T11:26:27.000938,4.0,2.0,rising/peak,,SN,0.37,18.2053,18.0284,20.0583,19.1664,0.89,0.00291667,60242.5,60261.5,152.78834443333335,-3.303955544444444
2018mgz,ZTF18aathofv,,1866.8371382481416,0.11,0.29,19.6415,19.3551,2018-11-18T13:07:30,2.0,2.0,rising/peak,,NT,0.38,19.6415,19.3551,19.2735,18.5902,0.68,0.011667,58423.5,58440.5,183.69891958,29.19570438
